"language","a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","s","t","u","v","w","x","y","z"," "
1,0.0597014925373134,0,0,0.0597014925373134,0.164179104477612,0.0149253731343284,0,0,0.0597014925373134,0,0,0.0447761194029851,0,0.0298507462686567,0.0298507462686567,0.0149253731343284,0.0149253731343284,0.0149253731343284,0.0895522388059701,0.0746268656716418,0.0895522388059701,0,0,0.0149253731343284,0,0,0.223880597014925
1,0.0588235294117647,0,0.0294117647058824,0.0735294117647059,0.191176470588235,0.0147058823529412,0,0,0.0147058823529412,0,0,0.0588235294117647,0,0.0441176470588235,0.0147058823529412,0,0.0147058823529412,0,0.0735294117647059,0.0735294117647059,0.102941176470588,0.0147058823529412,0,0.0147058823529412,0,0,0.205882352941176
1,0.125,0,0,0,0,0,0,0,0.25,0,0,0,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0,0.375
1,0.0454545454545455,0,0.0151515151515152,0.0303030303030303,0.136363636363636,0,0,0,0.106060606060606,0,0,0.0757575757575758,0,0.0606060606060606,0.0151515151515152,0.0303030303030303,0,0.0151515151515152,0.0303030303030303,0.0606060606060606,0.0909090909090909,0,0,0,0.0303030303030303,0,0.257575757575758
1,0.0333333333333333,0,0.0666666666666667,0.0333333333333333,0.1,0.0333333333333333,0,0,0.0333333333333333,0.0333333333333333,0,0.0333333333333333,0.0333333333333333,0.0666666666666667,0.0666666666666667,0,0,0.0333333333333333,0.0333333333333333,0.0666666666666667,0.0666666666666667,0,0,0,0,0,0.266666666666667
1,0.0434782608695652,0.0144927536231884,0.0144927536231884,0.0579710144927536,0.144927536231884,0,0,0,0.0579710144927536,0,0,0.0434782608695652,0.0144927536231884,0.0434782608695652,0.0289855072463768,0,0.0289855072463768,0.0144927536231884,0.115942028985507,0.0434782608695652,0.101449275362319,0,0,0.0144927536231884,0,0,0.217391304347826
1,0.0714285714285714,0,0.0357142857142857,0,0.160714285714286,0.0178571428571429,0,0,0.0714285714285714,0,0,0.0714285714285714,0,0.0357142857142857,0,0.0178571428571429,0.0178571428571429,0.0178571428571429,0.0892857142857143,0.0535714285714286,0.0892857142857143,0,0,0,0,0,0.25
1,0.107692307692308,0,0.0153846153846154,0.0461538461538462,0.184615384615385,0,0,0,0.0461538461538462,0,0,0.0769230769230769,0.0307692307692308,0,0,0.0615384615384615,0,0.0461538461538462,0.0615384615384615,0.0307692307692308,0.0461538461538462,0,0,0.0153846153846154,0,0,0.230769230769231
1,0.08,0.04,0.04,0,0.12,0,0,0,0.08,0,0,0.04,0,0.04,0.04,0,0.04,0,0,0.12,0.04,0.04,0,0,0,0,0.28
1,0.032258064516129,0.0161290322580645,0,0.0967741935483871,0.17741935483871,0,0,0.0161290322580645,0.0645161290322581,0,0,0.0483870967741935,0,0,0.0161290322580645,0.032258064516129,0.0161290322580645,0.0967741935483871,0.032258064516129,0.032258064516129,0.0806451612903226,0.0161290322580645,0,0,0,0,0.225806451612903
